CASEID,FULL_SAMPLE_WGT,REP_WGT_1,REP_WGT_2,REP_WGT_3,REP_WGT_4,REP_WGT_5,REP_WGT_6,REP_WGT_7,REP_WGT_8,REP_WGT_9,REP_WGT_10,REP_WGT_11,REP_WGT_12,REP_WGT_13,REP_WGT_14,REP_WGT_15,REP_WGT_16,REP_WGT_17,REP_WGT_18,REP_WGT_19,REP_WGT_20,REP_WGT_21,REP_WGT_22,REP_WGT_23,REP_WGT_24,REP_WGT_25,REP_WGT_26,REP_WGT_27,REP_WGT_28,REP_WGT_29,REP_WGT_30,REP_WGT_31,REP_WGT_32,REP_WGT_33,REP_WGT_34,REP_WGT_35,REP_WGT_36,REP_WGT_37,REP_WGT_38,REP_WGT_39,REP_WGT_40
4,4759.014204271671,7370.1296154695,0,0,9318.125489898814,9460.743441414845,0,0,0,0,8931.19927528379,0,9375.29218575675,0,8888.68711464148,9915.59436495552,9114.654132564898,8573.96603522899,0,0,9814.776583384748,12563.273433502889,0,0,9723.691263608762,9123.452844918624,0,0,0,0,11127.225382311173,0,9347.672249329024,0,10092.998985332575,9069.407479701013,9382.699958433255,11491.831378154302,0,0,9305.990197199524
8,1339.755930759686,2055.3332554674485,0,0,2302.573548710819,2477.029948917171,0,0,0,0,2712.021378846595,0,2381.7734921372444,0,2355.5824481575205,2128.5494476317385,2540.849152409712,2308.4477927919993,0,0,2546.2206846857925,3552.078173685197,0,0,2842.9609767935376,2525.209558018735,0,0,0,0,2863.9521885387994,0,2837.0642104722638,0,2874.9449320709236,2560.351680491875,2750.627910040341,2557.234672346388,0,0,2601.496393638965
25,1643.6981682676753,2072.341856836875,0,0,3629.091379573798,1491.12591534245,0,0,0,0,4421.043346979184,0,2972.636570444261,0,2104.273788382827,1731.9947747783888,3354.0228373470395,9633.329971018935,0,0,2358.2990067101073,9771.258642529172,0,0,2433.7282563989925,4025.3880510452454,0,0,0,0,1615.4388787380524,0,2021.8063334441952,0,4925.199455495888,4959.438934438715,4398.575020386898,3098.064878785633,0,0,4237.547205141369
32,1982.9492677827134,0,4213.479322745783,4761.798938836297,0,0,4214.733805984453,3994.013099208803,3751.246775545127,3168.215829462747,0,3617.3812766679425,0,3847.0288162270876,0,0,0,0,3984.238128963398,4155.323738596347,0,0,3335.7346749760727,3580.769245060692,0,0,3401.0345842455595,4169.882995082445,3777.4886748984245,4578.749680352195,0,3969.5099273736264,0,4121.454012202826,0,0,0,0,3762.2423673592148,3461.1201770955367,0
34,6160.2295371363325,0,14433.09209244561,13004.510424187492,0,0,13581.957185871881,12177.7635132029,12756.77655225653,10482.054927952859,0,12440.869073614038,0,11579.982555577126,0,0,0,0,13734.188611236525,13851.314271848993,0,0,10359.613511085636,11893.509141755454,0,0,11098.286363910638,13767.621341831626,12110.36807058833,15755.029116515929,0,12909.681863028398,0,12073.52364200312,0,0,0,0,11351.804268649707,9906.956216933637,0
44,9378.20742648473,0,18490.071535508017,25270.01664946239,0,0,32166.285811731348,16372.232345702674,21508.62628563175,19108.432467761693,0,14226.948989749213,0,19740.586077617798,0,0,0,0,24404.36564258125,21100.83956500869,0,0,16309.35141243649,25990.334752537667,0,0,27455.88966337868,18681.456267043053,15149.182568399632,25467.96875604427,0,18206.16992603167,0,25168.97658675639,0,0,0,0,26463.80657194301,23636.56922477144,0
51,6064.45537742153,0,12163.384650581336,14323.206749601446,0,0,14428.1124100907,12821.08768794522,12121.620836377711,10699.906617142235,0,12026.704068481427,0,12518.263544424286,0,0,0,0,13444.555700706787,12501.124765643146,0,0,11576.44780162297,10933.332691410018,0,0,10166.17432857158,12221.897224914848,11284.627193815242,12840.725336388135,0,12003.226454881435,0,11986.131043767455,0,0,0,0,10880.340683174474,10288.80193853769,0
53,6530.2957268245,0,10861.13679085756,18505.192958851752,0,0,21607.156091410852,17401.316940239394,14364.619551220658,8674.119130625772,0,17797.161485571487,0,11590.909528410642,0,0,0,0,12327.074412424225,12696.852085437937,0,0,13646.673381368006,9008.869230381104,0,0,9248.35454740777,12218.036144169388,13451.634262675338,18353.22195770313,0,10620.542152311044,0,12895.929478146885,0,0,0,0,19506.11358857962,13072.619717208941,0
60,1520.8321144277322,0,3231.547458939414,3652.0837251312314,0,0,3232.509590662788,3063.2268235050906,2877.036068487885,2429.877787177571,0,2774.367304836682,0,2950.4965476949155,0,0,0,0,3055.729864854498,3186.94476463717,0,0,2558.357140718167,2746.2875378212543,0,0,2608.4392082222435,3198.111053753082,2897.1624145969317,3511.6932495160427,0,3044.434002509752,0,3160.9682212918424,0,0,0,0,2885.4691884974054,2654.5221316259526,0
68,5716.273079482722,0,9268.175505404577,17072.96154476918,0,0,21166.017172551085,17766.808080524952,16358.288163693895,10376.347436124746,0,14324.746770125346,0,11710.523732972562,0,0,0,0,15737.255196472694,9840.170847210826,0,0,11615.204187724583,8062.931655991904,0,0,8047.577574360683,11788.360447715513,10105.728184960593,16571.921898604116,0,7281.674374488507,0,12992.987146291582,0,0,0,0,16239.547659715849,10500.316192184857,0
124,1544.9818433851217,2685.6967689789767,0,0,2788.6906644638552,5302.351519321935,0,0,0,0,3039.5695809080885,0,3330.830119981786,0,2364.6961898260593,5066.557183008185,2633.7777909584797,2486.1704259886833,0,0,3320.4441160108595,3089.158189920713,0,0,3902.3026382910743,3203.903282539241,0,0,0,0,3854.725538172906,0,2286.8618952329543,0,3521.5506409902036,3193.793305405554,3335.9717506336915,4705.015015456134,0,0,2996.7962883387786
125,41354.10910902234,77187.37571235871,0,0,95086.9499718302,101645.85344903274,0,0,0,0,68111.36464326107,0,66105.6576112553,0,113838.40087215969,84160.09230961786,68513.087805872,83127.7422928039,0,0,91190.51540221371,86177.48925644103,0,0,95816.52418903852,70964.67150187958,0,0,0,0,95376.91092415576,0,130675.28472237993,0,79373.87960929803,73171.83701626753,99252.86795903198,89246.0281058481,0,0,64251.59545197472
129,795.791838073603,1542.245855712436,0,0,1589.1202449462478,1209.6367978511635,0,0,0,0,1481.0345263371883,0,1450.431459603375,0,1353.5411799059377,1937.4653726544627,1264.2758162042471,1407.2832483011157,0,0,1341.1082880229403,1866.6344206274096,0,0,1550.1810469495183,1248.6047366071375,0,0,0,0,1345.5782744767967,0,2004.7196357779237,0,1416.4438096963056,1481.0926180556214,1852.580700941899,1462.372702377927,0,0,1536.9065929636724
150,1299.321272902278,1938.5113270571962,0,0,3175.3532147075393,3062.984383025408,0,0,0,0,2685.0565058569455,0,2375.7637091157962,0,2931.403956465456,3397.082160703665,1985.2612618139008,2530.2051043532165,0,0,2433.4886256422024,2586.430985217514,0,0,2555.1691397160594,2256.160636768847,0,0,0,0,2879.0911519310334,0,3652.3607925942642,0,2499.284387821139,2478.8854639371175,2838.30168661767,2422.9198079532775,0,0,2286.1971861282173
158,1739.5232737843594,2693.9427886995863,0,0,3405.9776798255944,3458.107645249716,0,0,0,0,3264.547726757589,0,3426.8733514209794,0,3249.0086067461825,3624.365557842437,3331.604470072797,3133.97120217253,0,0,3587.5144643331464,4592.149885343663,0,0,3554.2207974413327,3334.8205909460858,0,0,0,0,4067.243066389763,0,3416.777663496084,0,3689.2108078830356,3315.065833636933,3429.5810535678056,4200.514493686863,0,0,3401.5419662138
160,933.2998255479865,1463.5230814526824,0,0,1347.8864190567306,2194.7399350759856,0,0,0,0,2095.6757046870193,0,1062.1313542261273,0,1514.3004363515345,1502.8255570088324,1337.9585569989133,1192.819310022623,0,0,2446.5079692744503,2199.1418013567595,0,0,3979.347468948049,1501.9525256111701,0,0,0,0,3273.4446573509686,0,1430.1498834892755,0,1301.9006530631991,1761.718952761179,2301.890061736868,1381.1256503642057,0,0,1740.9023255043314
164,3080.1147685681663,5065.538837064395,0,0,6120.2303134284475,6320.370234452676,0,0,0,0,5398.998057277751,0,6142.179332371841,0,5769.090167950973,6409.724129263433,6064.899988761985,5554.503431178639,0,0,5939.1223045794095,8452.148328250401,0,0,5894.525077868889,6644.252834332738,0,0,0,0,7338.737500318605,0,5968.47946178012,0,5966.073520983931,5712.84986578306,6666.926753420667,7628.007487455675,0,0,5263.699504817636
168,3265.5423029381004,4542.051038016406,0,0,4515.328917888391,4206.935306595847,0,0,0,0,6105.006259787676,0,9808.725941518054,0,4714.5395887641025,6201.690422309443,6111.25136165348,6080.329323386357,0,0,5618.778612461081,5811.349358058607,0,0,6191.307815935499,5378.833524200869,0,0,0,0,4640.627489406859,0,6779.0821623992215,0,6111.697190448939,6357.606831328976,6552.129614518416,8618.265347712007,0,0,6169.584583258388
171,18070.847789571355,32525.632279811296,0,0,37086.64068486285,37232.13257622944,0,0,0,0,38806.534978624055,0,40227.57624114271,0,33630.12481241043,36055.41635872286,36516.57308405737,37205.89981981743,0,0,34701.22531016415,34646.99400002608,0,0,37005.31687609245,33960.883154238516,0,0,0,0,40496.400896855535,0,43192.4890709432,0,36718.38421592596,40371.93266363538,36057.21835661268,37200.508627172996,0,0,34450.848403397846
183,2139.163372173893,3850.269895467896,0,0,4390.1860208139415,4407.408838945324,0,0,0,0,4593.781055206747,0,4761.998919389185,0,3981.0158348996447,4268.113313840761,4322.703424230405,4404.30349755121,0,0,4107.808942748977,4101.389231088333,0,0,4380.559194500476,4020.1698435061458,0,0,0,0,4793.821436170604,0,5112.974867006755,0,4346.593115871736,4779.087324710851,4268.326628009941,4403.665307136926,0,0,4078.170205572421
203,37823.50061193436,0,76603.80660769685,82377.9368438504,0,0,77131.98892096638,71963.1194524906,77105.24187655936,75585.275570576,0,79396.74655856322,0,75516.86739960036,0,0,0,0,66333.94686714606,75509.49895477647,0,0,70357.62970240977,73435.01862316481,0,0,78492.12899712306,72614.8199440547,73533.47580424619,83560.31986640615,0,78100.11015303369,0,74933.4039697385,0,0,0,0,67087.08660660489,66760.08921829886,0
214,17625.25050400793,0,35100.17182802447,39942.4639552622,0,0,33366.08062596241,32885.9017378445,34839.257489589756,37729.88425885092,0,35970.940969469106,0,36666.90412871147,0,0,0,0,33969.167944710796,32814.223725342956,0,0,33236.83104523533,30705.550851172055,0,0,35402.51369308129,33213.744297288125,35555.34706772727,37380.657447141755,0,36888.427839917844,0,35766.95357303784,0,0,0,0,30340.512796733725,31068.00176436015,0
217,23039.46937927865,0,45882.43065568318,52212.2040206431,0,0,43615.65202795813,42987.96921647962,45541.36725294661,49319.95223942221,0,47020.687327052045,0,47930.440178100835,0,0,0,0,44403.998940257334,42894.27276809034,0,0,43446.6988685821,40137.84646343564,0,0,46277.6475146133,43416.520209715614,46477.42906407198,48863.44806474584,0,48220.01272970587,0,46754.03798934372,0,0,0,0,39660.67406378147,40611.63698993,0
221,14075.945362766292,0,31343.929744553778,28470.27166704487,0,0,27310.624450256735,26110.769068845028,27475.568996133563,32328.601412206604,0,25881.51187527376,0,29010.884400334457,0,0,0,0,26138.722651680346,25658.686688051166,0,0,27834.847279832346,26953.254436595624,0,0,27989.533885748977,26884.521227752277,28182.186640309574,29776.109319724295,0,33680.85005820251,0,27532.768803384275,0,0,0,0,25389.764751398583,24832.500584618465,0
232,11519.734689639325,19142.886618501387,0,0,21702.460528699485,24605.196060794224,0,0,0,0,23756.058306611358,0,22170.732771395393,0,22333.358101861784,22029.781894989574,22227.07205370225,22792.009819083265,0,0,23942.45843132768,24692.295133216267,0,0,25512.355472796447,23906.377508275833,0,0,0,0,28108.576593446218,0,25457.31179494778,0,23292.274447379994,24385.35786084395,22493.924199649467,23631.44131409896,0,0,22990.27892404561
236,9129.49500306606,15170.912563207681,0,0,17199.398275135427,19499.84270805413,0,0,0,0,18826.89327887158,0,17570.50830630757,0,17699.39036669045,17458.803448817922,17615.157702335706,18062.876043516597,0,0,18974.61708093961,19568.869518816,0,0,20218.774831231174,18946.022619731742,0,0,0,0,22276.3037923056,0,20175.15221357473,0,18459.340332607673,19325.618925822917,17826.64046635923,18728.133173618262,0,0,18220.00612088236
