CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
50002,1137.9657276,,,789.19466854,,593.09392379
50004,1462.1003593,,,1044.0911562,,831.8113375
50005,3842.5861309,,,2581.6531374,,1950.0663392
50008,1536.542097,,,1104.014702,,728.5285764
50013,3286.3323323,,,2163.3483125,,1717.5159829
50015,2038.2524024,,,1372.8658687,,1082.485322
50018,3309.3550136,,,3167.9461293,,2265.9548166
50022,3593.1001443,,,2794.4221659,,2221.277085
50024,2608.760195,,,1824.3523518,,1505.0689172
50026,2808.3322925,,,1990.5607199,,1533.9139511
50028,2663.8371225,,,1863.0495427,,1536.9973682
50030,5331.3983194,,,3825.4806971,,2920.4180008
50031,6914.282165,,,4438.3719099,,3487.0725273
50034,4371.8406762,,,3126.4116463,,2479.6780362
50035,4013.1389166,,,2724.3771199,,2260.3864753
50036,3388.2041714,,,2168.7757593,,1743.3115209
50037,2594.4560054,,,1814.3021914,,1496.776686
50038,2756.387848,,,1854.113484,,1453.6672621
50041,1284.4126042,,,887.80736737,,693.77830403
50042,2473.5691944,,,1768.0239975,,1347.4744857
50043,8172.0155126,,,5294.1414895,,4172.9193976
50044,1738.1327007,,,1836.841943,,1257.8505775
50049,12631.59965,,,13469.564093,,9266.3403665
50050,4251.2173834,,,1605.275134,,884.70191205
50051,2981.5162859,,,2004.9799042,,1570.0291697
50052,2136.2523382,,,1525.1771388,,1161.8159532
50053,2868.7516758,,,2007.0230346,,1655.7876598
50054,6506.0821988,,,4366.9144822,,3391.7679817
50058,3293.2374165,,,2326.7690665,,1922.464857
50060,7833.5731664,,,7941.1716842,,5838.5756066
50062,7501.7627022,,,7573.7083796,,5094.7512457
50068,3477.0181274,,,2337.0329746,,1826.1387044
50069,2916.8942961,,,1867.3800911,,1500.710289
50071,6941.0310162,,,4658.3888586,,3616.5795362
50074,3313.0030264,,,2349.8399376,,1812.1759433
50075,8026.3783491,,,5183.5107552,,4141.4711688
50076,4723.889018,,,3504.6574238,,2620.2316886
50078,1369.2023083,,,980.62383422,,760.55845014
50080,10369.269864,,,6652.0976592,,5230.656468
