libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
NSFG,FEMPREGDATA_2017_2019,DATA,CASEID,num,6,64,1,Case identification number,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PREGORDR,num,3,70,2,Pregnancy order (number),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,MOSCURRP,num,3,73,3,Number of Months Currently Pregnant,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PREGEND1,num,3,76,4,BC-1 How Pregnancy Ended - 1st mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PREGEND2,num,3,79,5,BC-1 How Pregnancy Ended - 2nd mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,HPAGEEND,num,3,82,6,BC-4c Father's age (categorical) at pregnancy's end date,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,KIDAGE,num,3,85,7,Current age (in years) of child(ren) from this pregnancy,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,HPAGELB,num,3,88,8,BD-6 Father's age (categorical) at time of child(ren) s birth,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PAYBIRTH1,num,3,91,9,BD-8 Payment for delivery - 1st mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PAYBIRTH2,num,3,94,10,BD-8 Payment for delivery - 2nd mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,PAYBIRTH3,num,3,97,11,BD-8 Payment for delivery - 3rd mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECPRIM,num,3,100,12,BD-9 Is this R's first c-section?,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECMED1,num,3,103,13,BD-10 Medical reasons reported for this C-section - 1st mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECMED2,num,3,106,14,BD-10 Medical reasons reported for this C-section - 2nd mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECMED3,num,3,109,15,BD-10 Medical reasons reported for this C-section - 3rd mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECMED4,num,3,112,16,BD-10 Medical reasons reported for this C-section - 4th mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECMED5,num,3,115,17,BD-10 Medical reasons reported for this C-section - 5th mention,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2017_2019,DATA,CSECPLAN,num,3,118,18,BD-11 Was this c-section planned for by R?,,,,0,num,no,0,,yes
