FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
ABNPAP3F,1,1,Yes,1,40,27,27,1E-12,,0,,0,N,N,N,,,,,
ABNPAP3F,5,5,No,1,40,27,27,1E-12,,0,,0,N,N,N,,,,,
ABNPAP3F,6,6,No Pap test in past 3 years,1,40,27,27,1E-12,,0,,0,N,N,N,,,,,
ABNPAP3F,8,8,Refused,1,40,27,27,1E-12,,0,,0,N,N,N,,,,,
ABNPAP3F,9,9,Don't know,1,40,27,27,1E-12,,0,,0,N,N,N,,,,,
ACASILANG,1,1,English,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ACASILANG,2,2,Spanish,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ACASILANG,7,7,Not ascertained,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,0,0,NO ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,5,5,.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,10,10,1 ADDITIONAL BIRTH,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,15,15,1.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,20,20,2 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,25,25,2.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,30,30,3 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,35,35,3.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,40,40,4 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,45,45,4.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,50,50,5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,55,55,5.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,60,60,6 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,65,65,6.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,70,70,7 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,75,75,7.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,80,80,8 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,85,85,8.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,90,90,9 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,95,95,9.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADPTOTKD,1,1,"Yes, adopted",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTOTKD,3,3,"Yes, became guardian",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTOTKD,5,5,"No, neither",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTOTKD,8,8,Refused,1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTOTKD,9,9,Don't know,1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,1,1,Strongly agree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,2,2,Agree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,3,3,Disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,4,4,Strongly disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,5,5,If R insists: Neither agree nor disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,8,8,Refused,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,9,9,Don't know,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGE25NRDF,9,9,9 YEARS OR YOUNGER,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGE25NRDF,98,98,Refused,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGE25NRDF,99,99,Don't know,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGE44NRDF,98,98,Refused,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGE44NRDF,99,99,Don't know,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,17,17,17 YEARS OR YOUNGER,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,98,98,Refused,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,99,99,Don't know,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGEF2F,1,1,Younger than 18,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
