libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
NSFG,FEMPREGDATA_2002,DATA,CASEID,char,12,1936,1,RESPONDENT ID NUMBER,,,,0,char,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PREGORDR,num,8,0,2,PREGNANCY ORDER (NUMBER),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,HOWPREG_N,num,8,8,3,BB-2 # OF WEEKS OR MONTHS CURRENTLY PREGNANT,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,HOWPREG_P,num,8,16,4,BB-2 CURRENT PREGNANCY LENGTH REPORTED IN MONTHS OR WEEKS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,MOSCURRP,num,8,24,5,NUMBER OF MONTHS CURRENTLY PREGNANT,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,NOWPRGDK,num,8,32,6,BB-3 WHICH TRIMESTER -- CURRENT PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PREGEND1,num,8,40,7,BC-1 HOW PREGNANCY ENDED - 1ST MENTION,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PREGEND2,num,8,48,8,BC-1 HOW PREGNANCY ENDED - 2ND MENTION,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,NBRNALIV,num,8,56,9,BC-2 NUMBER OF BABIES BORN ALIVE FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,MULTBRTH,num,8,64,10,BC-3 WAS THIS A MULTIPLE BIRTH,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,CMOTPREG,num,8,72,11,CM FOR PREGNANCY END DATE (IF NONLIVEBIRTH),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PRGOUTCOME,num,8,80,12,OUTCOME OF PREGNANCY (BASED ON PRIORITY ORDERING),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,CMPRGEND,num,8,88,13,CM FOR PREGNANCY END DATE (REGARDLESS OF OUTCOME),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,FLGDKMO1,num,8,96,14,FLAG INDICATING SEASON/DK/RF FOR BC-4A DATPRGEN_M,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,CMPRGBEG,num,8,104,15,CM FOR PREGNANCY START DATE,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,AGEATEND,num,8,112,16,BC-4B R'S AGE AT PREGNANCY'S END DATE,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,HPAGEEND,num,8,120,17,BC-4C FATHER'S AGE AT PREGNANCY'S END DATE,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,GESTASUN_M,num,8,128,18,BC-5 GESTATIONAL LENGTH OF PREGNANCY IN MONTHS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,GESTASUN_W,num,8,136,19,BC-5 GESTATIONAL LENGTH OF PREGNANCY IN WEEKS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,WKSGEST,num,8,144,20,GESTATIONAL LENGTH OF COMPLETED PREGNANCY (IN WEEKS),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,MOSGEST,num,8,152,21,GESTATIONAL LENGTH OF COMPLETED PREGNANCY (IN MONTHS),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,DK1GEST,num,8,160,22,BC-6 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A STILLBIRTH,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,DK2GEST,num,8,168,23,BC-7 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A LIVEBIRTH,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,DK3GEST,num,8,176,24,BC-8 DK FOLLOWUP FOR GESTATIONAL LENGTH OF A MISCARR/ABOR/ECTOP,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BPA_BDSCHECK1,num,8,184,25,WHETHER 1ST LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BPA_BDSCHECK2,num,8,192,26,WHETHER 2ND LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BPA_BDSCHECK3,num,8,200,27,WHETHER 3RD LIVEBORN BABY FROM THIS PREGNANCY WAS BPA OR BDS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BABYSEX,num,8,208,28,BD-2 SEX OF 1ST LIVEBORN BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_LB,num,8,216,29,BD-3 BIRTHWEIGHT IN POUNDS - 1ST BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_OZ,num,8,224,30,BD-3 BIRTHWEIGHT IN OUNCES - 1ST BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,LOBTHWGT,num,8,232,31,BD-4 IS BABY LOW BIRTHWEIGHT- 1ST BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BABYSEX2,num,8,240,32,BD-2 SEX OF 2ND LIVEBORN BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_LB2,num,8,248,33,BD-3 BIRTHWEIGHT IN POUNDS - 2ND BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_OZ2,num,8,256,34,BD-3 BIRTHWEIGHT IN OUNCES - 2ND BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,LOBTHWGT2,num,8,264,35,BD-4 IS BABY LOW BIRTHWEIGHT- 2ND BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BABYSEX3,num,8,272,36,BD-2 SEX OF 3RD LIVEBORN BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_LB3,num,8,280,37,BD-3 BIRTHWEIGHT IN POUNDS - 3RD BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHWGT_OZ3,num,8,288,38,BD-3 BIRTHWEIGHT IN OUNCES - 3RD BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,LOBTHWGT3,num,8,296,39,BD-4 IS BABY LOW BIRTHWEIGHT- 3RD BABY FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,CMBABDOB,num,8,304,40,CM FOR BABY'S OR BABIES' DATE OF BIRTH (DELIVERY DATE),,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,KIDAGE,num,8,312,41,CURRENT AGE (IN MOS) OF R'S CHILD(REN) FROM THIS PREGNANCY,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,HPAGELB,num,8,320,42,BD-6 FATHER'S AGE AT TIME OF CHILD(REN) S BIRTH,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,BIRTHPLC,num,8,328,43,BD-7 PLACE WHERE R GAVE BIRTH,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PAYBIRTH1,num,8,336,44,BD-8 PAYMENT FOR DELIVERY - 1ST MENTION,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PAYBIRTH2,num,8,344,45,BD-8 PAYMENT FOR DELIVERY - 2ND MENTION,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PAYBIRTH3,num,8,352,46,BD-8 PAYMENT FOR DELIVERY - 3RD MENTION,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,KNEWPREG,num,8,360,47,BE-1 WEEKS PREGNANT WHEN R LEARNED SHE WAS PREGNANT,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,TRIMESTR,num,8,368,48,BE-2A DK FOLLOWUP FOR KNEWPREG WHEN GESTATION >= 6 MOS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,LTRIMEST,num,8,376,49,BE-2B DK FOLLOWUP FOR KNEWPREG WHEN GESTATION < 6 MOS,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,PRIORSMK,num,8,384,50,BE-3 AMOUNT R'SMOKED IN 6 MOS BEFORE R KNEW SHE WAS PREGNANT,,,,0,num,no,0,,yes
NSFG,FEMPREGDATA_2002,DATA,POSTSMKS,num,8,392,51,BE-4 R'SMOKED AT ALL AFTER R KNEW SHE WAS PREGNANT,,,,0,num,no,0,,yes
