FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
ADDEXP,0,0,NO ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,5,5,.5 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,10,10,1 ADDITIONAL BIRTH,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,15,15,1.5 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,20,20,2 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,25,25,2.5 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,30,30,3 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,35,35,3.5 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,40,40,4 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,50,50,5 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,60,60,6 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,70,70,7 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,80,80,8 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,90,90,9 ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,100,995,10 OR MORE ADDITIONAL BIRTHS,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
AGEFF,15,15,15 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,16,16,16 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,17,17,17 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,18,18,18 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,19,19,19 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,20,20,20 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,21,21,21 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,22,22,22 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,23,23,23 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,24,24,24 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,25,25,25 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,26,26,26 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,27,27,27 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,28,28,28 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,29,29,29 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,30,30,30 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,31,31,31 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,32,32,32 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,33,33,33 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,34,34,34 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,35,35,35 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,36,36,36 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,37,37,37 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGEFF,38,38,38 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
