libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
NSFG,FEMRESPDATA_2002,DATA,CASEID,char,12,24680,1,RESPONDENT ID NUMBER,,,,0,char,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,RSCRINF,num,8,0,2,WHETHER R IS SCREENER INFORMANT,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,RDORMRES,num,8,8,3,WHETHER R IS PART OF THE SAMPLE OF DORMITORY RESIDENTS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,ROSTSCRN,num,8,16,4,# OF HOUSEHOLD MEMBERS BASED ON SCREENER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,RSCREENHISP,num,8,24,5,WHETHER  R REPORTED AS HISPANIC IN THE SCREENER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,RSCREENRACE,num,8,32,6,R S RACE AS REPORTED IN SCREENER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,AGE_A,num,8,40,7,AA-1 R S AGE AT INTERVIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,AGE_R,num,8,48,8,R S AGE AT INTERVIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,CMBIRTH,num,8,56,9,CENTURY MONTH OF R S BIRTH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,AGESCRN,num,8,64,10,R S AGE AT SCREENER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MARSTAT,num,8,72,11,AB-1  R S MARITAL STATUS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,FMARSTAT,num,8,80,12,AB-2 R S FORMAL MARITAL STATUS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,FMARIT,num,8,88,13,FORMAL MARITAL STATUS AT TIME OF INTERVIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,EVRMARRY,num,8,96,14,WHETHER R WAS EVER MARRIED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HISP,num,8,104,15,AC-1 HISPANIC/LATIN ORIGIN,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HISPGRP,num,8,112,16,AC-2 HISPANIC/LATIN ORIGIN -- GROUP,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,NUMRACE,num,8,120,17,NUMBER OF RACES REPORTED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,ROSCNT,num,8,128,18,NUMBER OF HOUSEHOLD MEMBERS BASED ON HH ROSTER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HPLOCALE,num,8,136,19,WHETHER H/P LIVES IN HH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MANREL,num,8,144,20,WHETHER MAN IN HH R S HUSBAND OR COHABITING PARTNER,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,FL_RAGE,num,8,152,21,WHETHER RS AGE AT SCREENER DIFFERS FROM AGE AT I VIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,FL_RRACE,num,8,160,22,WHETHER RS RACE AT SCREENER DIFFERS FROM RACE AT I VIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,FL_RHISP,num,8,168,23,WHETHER R S HISP. ORIGIN(SCREENER) DIFFERS FROM I VIEW,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,GOSCHOL,num,8,176,24,AF-1 CURRENTLY ENROLLED IN REGULAR SCHOOL,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,VACA,num,8,184,25,AF-2 ON VACATION FROM SCHOOL,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HIGRADE,num,8,192,26,AF-3 HIGHEST SCHOOL GRADE/YEAR ATTENDED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,COMPGRD,num,8,200,27,AF-4 WHETHER R COMPLETED HIGHEST GRADE/YEAR ATTENDED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HAVEDIP,num,8,208,28,AF-5 WHETHER R HAS HIGH SCHOOL DIPLOMA OR GED OR BOTH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,DIPGED,num,8,216,29,AF-6 WHICH ONE R HAS: HIGH SCHOOL DIPLOMA OR GED OR BOTH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,CMHSGRAD,num,8,224,30,CENTURY MONTH OF HIGH SCHOOL GRADUATION,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,HAVEDEG,num,8,232,31,AF-10 WHETHER R HAS ANY COLLEGE OR UNIVERSITY DEGREES,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,DEGREES,num,8,240,32,AF-11  HIGHEST COLLEGE OR UNIVERSITY DEGREE,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,WTHPARNW,num,8,248,33,WHETHER R IS LIVING WITH PARENTS (HH ROSTER),,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,ONOWN,num,8,256,34,"AG-0A  WHETHER R EVER LIVE AWAY FROM PARENTS/GUARDIANS (BEFORE AGE 18,)",,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,INTACT,num,8,264,35,AG-1 WHETHER R ALWAYS LIVED W/ BOTH BIOLOGICAL/ADOPTIVE PARENTS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,PARMARR,num,8,272,36,AG-2 WHETHER R S BIOLOGICAL PARENTS MARRIED AT BIRTH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,LVSIT14F,num,8,280,37,AG-3 FEMALE PARENT (FIGURE) LIVING WITH AT AGE 14,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,LVSIT14M,num,8,288,38,AG-4 MALE PARENT (FIGURE) LIVING WITH AT AGE 14,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,WOMRASDU,num,8,296,39,AG-5 WOMAN R THINKS OF AS RAISED HER DURING TEENS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MOMDEGRE,num,8,304,40,AG-6 HIGHEST DEGREE FEMALE PARENT (FIGURE) EARNED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MOMWORKD,num,8,312,41,AG-7 WHETHER FEMALE PARENT (FIGURE) WORKED FT/PT WHEN R WAS 5-15,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MOMCHILD,num,8,320,42,AG-8 # CHILDREN BORN TO FEMALE PARENT (FIGURE),,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MOMFSTCH,num,8,328,43,AG-9 AGE OF FEMALE PARENT (FIGURE) AT FIRST BIRTH,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MOM18,num,8,336,44,AG-10 ESTIMATE OF AGE OF FEMALE PARENT (FIGURE) AT FIRST BIRTH (RANGE),,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,MANRASDU,num,8,344,45,AG-11 MAN R THINKS OF AS RAISED HER DURING TEENS,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,DADDEGRE,num,8,352,46,AG-12 HIGHEST DEGREE MALE PARENT (FIGURE) EARNED,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2002,DATA,BOTHBIOL,num,8,360,47,WHETHER R LIVES WITH BOTH BIOLOGICAL PARENT (HH ROSTER),,,,0,num,no,0,,yes
