libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
NSFG,FEMRESPDATA_2017_2019,DATA,CASEID,num,6,932,1,Respondent ID number,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,RSCRNINF,num,3,938,2,Whether R was also the screener informant,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,RSCRAGE,num,3,941,3,R's age as reported in screener,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,RSCRHISP,num,3,944,4,R's Hispanic origin as reported in screener,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,RSCRRACE,num,3,947,5,R's race as reported in screener,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,AGE_A,num,3,950,6,AA-1 R's age at interview,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,AGE_R,num,3,953,7,R's age at interview,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,AGESCRN,num,3,956,8,R's age at screener,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,HISP,num,3,959,9,AC-1 R is of Hispanic/Latina origin,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,HISPGRP,num,3,962,10,AC-2 Hispanic/Latina origin -- group,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,PRIMLANG1,num,3,965,11,AC-6 Language spoken in home - 1st mention,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,PRIMLANG2,num,3,968,12,AC-6 Language spoken in home - 2nd mention,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,PRIMLANG3,num,3,971,13,AC-6 Language spoken in home - 3rd mention,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,ROSCNT,num,3,974,14,Number of HH members based on HH roster,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,NUMCHILD,num,3,977,15,Number of children in HH < 13 yrs with RELAR = codes 3 to 8,,,,0,num,no,0,,yes
NSFG,FEMRESPDATA_2017_2019,DATA,HHKIDS18,num,3,980,16,Number of children in HH < 19 yrs with RELAR = codes 3 to 10,,,,0,num,no,0,,yes
