FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
ACASILANG,1,1,English,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ACASILANG,2,2,Spanish,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ACASILANG,7,7,Not ascertained,1,40,15,15,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,0,0,NONE,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,1,1,1 PREGNANCY,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,2,2,2 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,3,3,3 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,4,4,4 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,5,5,5 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,6,6,6 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,7,7,7 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,8,8,8 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,9,9,9 PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,10,10,10 OR MORE PREGNANCIES,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,97,97,Not ascertained,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,98,98,Refused,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ACASINUM,99,99,Don't know,1,40,22,22,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,0,0,NO ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,5,5,.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,10,10,1 ADDITIONAL BIRTH,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,15,15,1.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,20,20,2 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,25,25,2.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,30,30,3 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,35,35,3.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,40,40,4 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,45,45,4.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,50,50,5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,55,55,5.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,60,60,6 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,65,65,6.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,70,70,7 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,78,78,7.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,80,80,8 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,85,85,8.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,90,90,9 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADDEXP,95,95,9.5 ADDITIONAL BIRTHS,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
ADOPKIDS,0,0,None,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ADOPKIDS,98,98,Refused,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ADOPKIDS,99,99,Don't know,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,1,1,In this household full-time,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,2,2,In this household part-time,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,3,3,With his/her biological parent(s),1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,4,4,Away at school or college,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,5,5,Living on own,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,6,6,Living with other relatives,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,7,7,Deceased,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,8,8,Someplace else,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,98,98,Refused,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTCHLIVF,99,99,Don't know,1,40,33,33,1E-12,,0,,0,N,N,N,,,,,
ADPTGUAR2F,1,1,"Yes, trying to adopt",1,40,30,30,1E-12,,0,,0,N,N,N,,,,,
ADPTGUAR2F,3,3,"Yes, trying to become guardian",1,40,30,30,1E-12,,0,,0,N,N,N,,,,,
ADPTGUAR2F,5,5,"No, neither",1,40,30,30,1E-12,,0,,0,N,N,N,,,,,
ADPTGUAR2F,8,8,Refused,1,40,30,30,1E-12,,0,,0,N,N,N,,,,,
ADPTGUAR2F,9,9,Don't know,1,40,30,30,1E-12,,0,,0,N,N,N,,,,,
ADPTGUARF,1,1,"Yes, adopted",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTGUARF,3,3,"Yes, became guardian",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTGUARF,5,5,"No, neither",1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTGUARF,8,8,Refused,1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
ADPTGUARF,9,9,Don't know,1,40,20,20,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,1,1,Strongly agree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,2,2,Agree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,3,3,Disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,4,4,Strongly disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,5,5,If R insists: Neither agree nor disagree,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,8,8,Refused,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGDGFMT,9,9,Don't know,1,40,40,40,1E-12,,0,,0,N,N,N,,,,,
AGE2SELF,9998,9998,Refused,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGE2SELF,9999,9999,Don't know,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,17,17,17 YEARS OR YOUNGER,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,98,98,Refused,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGECANCER,99,99,Don't know,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,15,15,15 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,16,16,16 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,17,17,17 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,18,18,18 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,19,19,19 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,20,20,20 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,21,21,21 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,22,22,22 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,23,23,23 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,24,24,24 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,25,25,25 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,26,26,26 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,27,27,27 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,28,28,28 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,29,29,29 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,30,30,30 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,31,31,31 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,32,32,32 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,33,33,33 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,34,34,34 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,35,35,35 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,36,36,36 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,37,37,37 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,38,38,38 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,39,39,39 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,40,40,40 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,41,41,41 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,42,42,42 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,43,43,43 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,44,44,44 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,45,45,45 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,46,46,46 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,47,47,47 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,48,48,48 years,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,98,98,Refused,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFMT,99,99,Don't know,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,1,1,UNDER 6 YEARS,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,2,2,6-12 YEARS,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,3,3,13-17 YEARS,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,4,4,18 YEARS AND OLDER,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,98,98,Refused,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEFSTER,99,99,Don't know,1,40,18,18,1E-12,,0,,0,N,N,N,,,,,
AGEGPRW,1,1,Less than 5 years old,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
AGEGPRW,2,2,5-18 years old,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
AGEGPRW,3,3,19 years or older,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
AGEGPRW,8,8,Refused,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
AGEGPRW,9,9,Don't know,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,1,1,LESS THAN 18 YEARS,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,2,2,18-19 YEARS,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,3,3,20-24 YEARS,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,4,4,25-29 YEARS,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,5,5,30 OR OLDER,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,95,95,NO MOTHER OR MOTHER-FIGURE,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGEMOMBF,96,96,MOTHER-FIGURE HAD NO CHILDREN,1,40,29,29,1E-12,,0,,0,N,N,N,,,,,
AGER,15,15,15 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,16,16,16 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,17,17,17 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,18,18,18 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,19,19,19 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,20,20,20 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,21,21,21 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,22,22,22 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,23,23,23 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,24,24,24 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,25,25,25 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,26,26,26 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,27,27,27 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,28,28,28 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,29,29,29 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,30,30,30 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,31,31,31 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,32,32,32 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,33,33,33 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,34,34,34 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,35,35,35 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,36,36,36 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,37,37,37 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,38,38,38 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,39,39,39 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGER,40,40,40 YEARS,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
