libname,memname,memtype,name,type,length,npos,varnum,label,format,informat,idxusage,sortedby,xtype,notnull,precision,scale,transcode
NSFG,MALEDATA_2015_2017,DATA,CASEID,num,6,1032,1,Respondent ID number,CASEID.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,RSCRNINF,num,3,1038,2,Whether R was also the screener informant,Y1N5C.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,RSCRAGE,num,3,1041,3,R's age as reported in screener,AGESCRN.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,RSCRHISP,num,3,1044,4,R's Hispanic origin as reported in screener,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,RSCRRACE,num,3,1047,5,R's race as reported in screener,RSCRRACE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,AGE_A,num,3,1050,6,AA-1 R's age at interview,AGEFMT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,AGE_R,num,3,1053,7,R's age at interview,AGEFMT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,AGESCRN,num,3,1056,8,R's age at screener,AGESCRN.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,HISP,num,3,1059,9,AC-1 R is of Hispanic/Latino origin,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,HISPGRP,num,3,1062,10,AC-2 Hispanic/Latino origin -- group,HISPGRPF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,PRIMLANG1,num,3,1065,11,AC-6 Language spoken in home - 1st mention,PRIMLANGF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,PRIMLANG2,num,3,1068,12,AC-6 Language spoken in home - 2nd mention,PRIMLANGF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,PRIMLANG3,num,3,1071,13,AC-6 Language spoken in home - 3rd mention,PRIMLANGF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,ROSCNT,num,3,1074,14,Total number of HH members based on HH roster,ROSCNT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MARSTAT,num,3,1077,15,AD-7b R's marital status,MARSTAT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,FMARSTAT,num,3,1080,16,AD-7c R's formal marital status,FMARSTAT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,FMARIT,num,3,1083,17,Formal marital status at time of interview,FMARITF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVRMARRY,num,3,1086,18,Whether R was ever married,EVRMARRY.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,WPLOCALE,num,3,1089,19,AD-8 Where R's current wife/partner lives,WPLOCALE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,WOMREL,num,3,1092,20,Woman in HH is R's wife or cohabiting partner,WOMREL.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,GOSCHOL,num,3,1095,21,AE-1 R currently enrolled in regular school,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,VACA,num,3,1098,22,AE-2 R on vacation from school,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,HIGRADE,num,3,1101,23,AE-3 R's current grade in school or highest grade/year attended,HIGRADE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,COMPGRD,num,3,1104,24,AE-4 R completed current grade or highest grade/year attended,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,DIPGED,num,3,1107,25,"AE-6 Which - high school diploma, GED, or both - does R have?",DIPGED.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EARNHS_Y,num,4,16,26,AE-7 Year high school diploma obtained,YEARFMT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,HISCHGRD,num,3,1110,27,"AE-8 R not in sch, no dipl-last grade of elem/jr/hi sch attended",HISCHGRD.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,LSTGRADE,num,3,1113,28,Highest grade of elem/junior/high school R attended,LSTGRADE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MYSCHOL_Y,num,4,20,29,AE-9 Year R last attended elem/jr/hi sch-R not in sch/no dipl,YEARFMT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,HAVEDEG,num,3,1116,30,AE-10 R has college or university degree,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,DEGREES,num,3,1119,31,AE-11 R's highest college or university degree received,DEGREES.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EARNBA_Y,num,4,24,32,AE-12 Year R received his Bachelor's degree,YEARFMT.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EXPSCHL,num,3,1122,33,AE-13 Expect to go back to school,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EXPGRADE,num,3,1125,34,AE-14 Highest grade/degree expect to complete,EXPGRADE2F.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,WTHPARNW,num,3,1128,35,R is living with parents or parent figures - based on HH roster,WTHPARNW.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,ONOWN,num,3,1131,36,AF-0a Did R ever live away from parents/guardians before age 18,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,ONOWN18,num,3,1134,37,Whether R lived on own before age 18,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,INTACT,num,3,1137,38,AF-1 R always lived with both biological/adoptive parents,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,PARMARR,num,3,1140,39,AF-2 R's biological parents married at R's birth,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,INTACT18,num,3,1143,40,Whether R lived in intact family from birth to age 18,Y1N2RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,LVSIT14F,num,3,1146,41,AF-3 Female parent/parent-figure at age 14 - fam not intact thru 18,LVSIT14F.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,LVSIT14M,num,3,1149,42,AF-4 Male parent/parent-figure at age 14 - fam not intact thru 18,MALFIGF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,WOMRASDU,num,3,1152,43,AF-5 Woman who raised R during teens - fam not intact thru 18,WOMRASDU.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MOMDEGRE,num,3,1155,44,AF-6 Highest level of education female parent (figure) completed,MDDEGRE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MOMWORKD,num,3,1158,45,AF-7 Female parent (figure) worked full/parttime when R was 5-15,MOMWORKD.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MOMFSTCH,num,3,1161,46,AF-9 Age of female parent (figure) at her first birth,MOMFSTCH.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MOM18,num,3,1164,47,AF-10 Estimated age of female parent (figure) at her first birth,MOM18F.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MANRASDU,num,3,1167,48,AF-11 Man who raised R during teens - fam not intact thru 18,MALFIGF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,R_FOSTER,num,3,1170,49,Whether R is living/has lived with a foster parent (FC A-24a),R_FOSTER.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVRFSTER,num,3,1173,50,AF-13 R ever lived in a foster home,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,MNYFSTER,num,3,1176,51,AF-14 Number of foster homes R lived in,MNYFSTER.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,DURFSTER,num,3,1179,52,AF-15 Total time spent in foster care,DURFSTER.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TIMESMAR,num,3,1182,53,AG-2 How many times R has been married - R ever married,TIMESMAR.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVCOHAB1,num,3,1185,54,AG-3 R ever cohabited (excluding wives) - R ever married,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,NUMCOH1,num,3,1188,55,AG-4 Number of women R has lived with-excl wives-R ever married,NUMCOH2F.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVCOHAB2,num,3,1191,56,"AG-5 R ever cohabited - R never married, not curr cohabiting",Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,NUMCOH2,num,3,1194,57,AG-6 Number of women R has lived with-R never marr & ever cohab,NUMCOH2F.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVRCOHAB,num,3,1197,58,Whether R ever cohabited with a woman (excluding wives),N0Y1RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,NUMWIFE,num,4,28,59,Number of wives,NUMWIFE.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,NUMCOHAB,num,4,32,60,Number of female cohabiting partners (excluding wives),NUMCOHAB.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,EVERSEX,num,3,1200,61,BA-1 Ever had sexual intercourse with a female,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,RHADSEX,num,3,1203,62,Whether R Has Ever Had Sex (Vaginal Intercourse),RHADSEX.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SXMTONCE,num,3,1206,63,BA-2 Has R had sexual intercourse more than once,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,YNOSEX,num,3,1209,64,BA-3 Main Reason Why R Has Not Had Intercourse with a Female,YNOSEX.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR1,num,3,1212,65,BA-4 Sex Ed Topics R Has Discussed with Parents -1st Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR2,num,3,1215,66,BA-4 Sex Ed Topics R Has Discussed with Parents -2nd Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR3,num,3,1218,67,BA-4 Sex Ed Topics R Has Discussed with Parents -3rd Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR4,num,3,1221,68,BA-4 Sex Ed Topics R Has Discussed with Parents -4th Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR5,num,3,1224,69,BA-4 Sex Ed Topics R Has Discussed with Parents -5th Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR6,num,3,1227,70,BA-4 Sex Ed Topics R Has Discussed with Parents -6th Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,TALKPAR7,num,3,1230,71,BA-4 Sex Ed Topics R Has Discussed with Parents -7th Mention,TALKPARF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDNO,num,3,1233,72,BA-5 Formal Sex Ed Before 18: How to Say No to Sex,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDNOG,num,3,1236,73,BA-6 Grade R Received Sex Ed on How to Say No to Sex,SEDGRDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDNOSX,num,3,1239,74,BA-7 R rec'd instruction-how say no to sex before/after 1st sex?,SEDBFAFF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBC,num,3,1242,75,BA-8 Formal Sex Ed Before 18: Methods of Birth Control,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCLC1,num,3,1245,76,BA-8a Place where received instructions on methods of birth control-1st Mention,SXEDWHRINS.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCLC2,num,3,1248,77,BA-8a Place where received instructions on methods of birth control-2nd Mention,SXEDWHRINS.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCLC3,num,3,1251,78,BA-8a Place where received instructions on methods of birth control-3rd Mention,SXEDWHRINS.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCLC4,num,3,1254,79,BA-8a Place where received instructions on methods of birth control-4th Mention,SXEDWHRINS.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCG,num,3,1257,80,BA-9 R's Grade When Received Instruction on Birth Control,SEDGRDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDBCSX,num,3,1260,81,BA-10 R rec'd instruction-birth control before/after 1st sex?,SEDBFAFF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDWHBC,num,3,1263,82,BA-11 Formal Sex Ed Before 18: Where to Get Birth Control,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDWHBCG,num,3,1266,83,BA-12 R's Grade When Received Instruction on Where to Get Birth Control,SEDGRDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDWBCSX,num,3,1269,84,BA-13 R rec'd Instruction-Where to Get Birth Control before/after 1st sex,SEDBFAFF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDCOND,num,3,1272,85,BA-14 Formal Sex Ed Before 18: How to Use a Condom,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDCONDG,num,3,1275,86,BA-15 R's Grade When Received Instruction on How to Use a Condom,SEDGRDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDCONSX,num,3,1278,87,BA-16 R rec'd Instruction-How to Use a Condom before/after 1st sex,SEDBFAFF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDSTD,num,3,1281,88,BA-17 Formal Sex Ed Before 18: STDs,Y1N5RDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDSTDG,num,3,1284,89,BA-18 R's Grade When Received Instruction on STDs,SEDGRDF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDSTDSX,num,3,1287,90,BA-19 R rec'd instruction on STDs before/after 1st sex?,SEDBFAFF.,,,0,num,no,0,,yes
NSFG,MALEDATA_2015_2017,DATA,SEDHIV,num,3,1290,91,BA-20 Formal Sex Ed Before 18: how prevent HIV/AIDS,Y1N5RDF.,,,0,num,no,0,,yes
